mu,var_g,var_b,var_h,var_e,h[1],h[2],b[1],g[1],b[2],g[2],yhat[1],yhat[2],yhat[3],yhat[4],yhat[500],yhat[501],yhat[502],yhat[503],yhat[999],yhat[1000],yhat[1001],yhat[1002],yhat[1498],yhat[1499],yhat[1500],yhat[1501],yhat[1997],yhat[1998],yhat[2488],yhat[2489]
121.371529,379.331225,0.488670,625.133224,450.088378,9.345257,25.208944,0.663288,20.814400,-0.252417,17.217592,157.729787,157.729787,145.575481,145.575481,157.729787,157.729787,145.575481,145.575481,157.729787,157.729787,145.575481,145.575481,157.729787,157.729787,145.575481,145.575481,157.434911,157.434911,157.434911,157.434911
121.898977,366.568729,0.515353,435.838978,461.167956,9.059659,24.216278,0.577802,18.028905,-0.137957,16.395704,154.222231,154.222231,146.104496,146.104496,154.222231,154.222231,146.104496,146.104496,154.222231,154.222231,146.104496,146.104496,154.222231,154.222231,146.104496,146.104496,159.170152,159.170152,159.170152,159.170152
121.506681,383.628961,0.555153,1077.818982,450.428921,8.995770,24.314603,0.589412,24.451762,-0.097303,19.575702,160.256424,160.256424,149.202837,149.202837,160.256424,160.256424,149.202837,149.202837,160.256424,160.256424,149.202837,149.202837,160.256424,160.256424,149.202837,149.202837,163.031102,163.031102,163.031102,163.031102
121.335691,386.464558,0.469356,2372.835787,452.106581,9.338634,23.721213,0.395648,19.637314,-0.038897,17.575145,154.006455,154.006455,147.886224,147.886224,154.006455,154.006455,147.886224,147.886224,154.006455,154.006455,147.886224,147.886224,154.006455,154.006455,147.886224,147.886224,161.709362,161.709362,161.709362,161.709362
121.243107,389.764458,0.506049,572.124036,454.737209,8.717984,23.175090,0.380088,23.815928,-0.208675,17.846202,157.090616,157.090616,145.988071,145.988071,157.090616,157.090616,145.988071,145.988071,157.090616,157.090616,145.988071,145.988071,157.090616,157.090616,145.988071,145.988071,157.428347,157.428347,157.428347,157.428347
122.063444,391.193504,0.470686,907.908326,453.635164,8.397229,23.773682,0.483643,23.553306,-0.047524,16.046888,158.075242,158.075242,146.108492,146.108492,158.075242,158.075242,146.108492,146.108492,158.075242,158.075242,146.108492,146.108492,158.075242,158.075242,146.108492,146.108492,160.754197,160.754197,160.754197,160.754197
121.616761,355.537162,0.478600,660.520733,464.877935,8.694082,22.587017,0.410139,18.353267,-0.078633,19.142482,152.229892,152.229892,148.769682,148.769682,152.229892,152.229892,148.769682,148.769682,152.229892,152.229892,148.769682,148.769682,152.229892,152.229892,148.769682,148.769682,161.570170,161.570170,161.570170,161.570170
121.459649,390.828604,0.477262,459.945194,456.767233,8.162685,22.261015,0.630427,16.781258,-0.179682,20.096683,151.549571,151.549571,148.252332,148.252332,151.549571,151.549571,148.252332,148.252332,151.549571,151.549571,148.252332,148.252332,151.549571,151.549571,148.252332,148.252332,159.817449,159.817449,159.817449,159.817449
121.345639,352.339615,0.477723,1256.652442,459.019492,9.555020,22.757329,0.490931,22.183105,-0.071078,18.860965,157.774617,157.774617,149.082475,149.082475,157.774617,157.774617,149.082475,149.082475,157.774617,157.774617,149.082475,149.082475,157.774617,157.774617,149.082475,149.082475,161.346394,161.346394,161.346394,161.346394
121.076629,392.877505,0.484819,1034.787755,455.666910,9.224317,23.789135,0.537945,22.604043,-0.091191,16.478553,157.867168,157.867168,145.938321,145.938321,157.867168,157.867168,145.938321,145.938321,157.867168,157.867168,145.938321,145.938321,157.867168,157.867168,145.938321,145.938321,159.174952,159.174952,159.174952,159.174952
121.509945,390.464526,0.476135,828.891927,462.017342,8.821482,24.077900,0.244097,18.438079,-0.308526,16.888674,150.922807,150.922807,144.498441,144.498441,150.922807,150.922807,144.498441,144.498441,150.922807,150.922807,144.498441,144.498441,150.922807,150.922807,144.498441,144.498441,155.047850,155.047850,155.047850,155.047850
121.433603,389.999741,0.466804,534.037713,462.835969,8.385546,23.643464,0.879206,16.872856,0.003300,19.498301,154.064631,154.064631,149.345125,149.345125,154.064631,154.064631,149.345125,149.345125,154.064631,154.064631,149.345125,149.345125,154.064631,154.064631,149.345125,149.345125,164.653398,164.653398,164.653398,164.653398
121.383290,373.795648,0.497837,610.317912,454.253335,8.482505,22.284613,0.508153,22.741244,-0.063038,16.819161,156.917449,156.917449,146.150236,146.150236,156.917449,156.917449,146.150236,146.150236,156.917449,156.917449,146.150236,146.150236,156.917449,156.917449,146.150236,146.150236,159.082287,159.082287,159.082287,159.082287
121.733169,385.918871,0.488652,769.534480,458.380087,7.529416,21.863364,0.351210,21.542111,-0.123905,16.011830,153.449099,153.449099,144.341483,144.341483,153.449099,153.449099,144.341483,144.341483,153.449099,153.449099,144.341483,144.341483,153.449099,153.449099,144.341483,144.341483,156.899386,156.899386,156.899386,156.899386
122.256765,357.766380,0.523648,808.385882,447.220405,7.130945,22.018727,0.517757,28.137645,-0.079443,16.670526,161.217455,161.217455,145.491734,145.491734,161.217455,161.217455,145.491734,145.491734,161.217455,161.217455,145.491734,145.491734,161.217455,161.217455,145.491734,145.491734,159.196789,159.196789,159.196789,159.196789
122.214598,360.598142,0.502869,1705.612066,454.067734,7.478656,22.279218,0.492257,25.447660,0.074768,15.352883,158.822335,158.822335,145.605304,145.605304,158.822335,158.822335,145.605304,145.605304,158.822335,158.822335,145.605304,145.605304,158.822335,158.822335,145.605304,145.605304,161.512478,161.512478,161.512478,161.512478
121.926956,395.850038,0.501996,1076.233395,460.367651,7.664543,21.614184,0.515750,24.446295,0.046228,15.309814,157.990778,157.990778,145.255627,145.255627,157.990778,157.990778,145.255627,145.255627,157.990778,157.990778,145.255627,145.255627,157.990778,157.990778,145.255627,145.255627,159.850128,159.850128,159.850128,159.850128
122.168414,388.046165,0.482135,571.548616,467.910774,7.451791,22.915583,0.115321,21.727027,-0.044493,20.003756,152.206579,152.206579,149.292404,149.292404,152.206579,152.206579,149.292404,149.292404,152.206579,152.206579,149.292404,149.292404,152.206579,152.206579,149.292404,149.292404,164.068158,164.068158,164.068158,164.068158
122.479074,394.855489,0.493605,817.766090,454.559247,7.228651,22.434617,0.323060,15.906912,-0.207603,20.367531,147.949921,147.949921,148.574565,148.574565,147.949921,147.949921,148.574565,148.574565,147.949921,147.949921,148.574565,148.574565,147.949921,147.949921,148.574565,148.574565,160.623724,160.623724,160.623724,160.623724
122.373772,397.056091,0.503870,647.775357,453.934450,7.926076,22.720412,0.553511,20.539841,-0.055011,18.089388,155.226861,155.226861,147.953218,147.953218,155.226861,155.226861,147.953218,147.953218,155.226861,155.226861,147.953218,147.953218,155.226861,155.226861,147.953218,147.953218,161.933709,161.933709,161.933709,161.933709
122.232735,383.963308,0.515515,411.054718,459.735497,7.458556,21.905491,0.558051,22.104180,-0.025113,16.899774,155.957726,155.957726,146.403761,146.403761,155.957726,155.957726,146.403761,146.403761,155.957726,155.957726,146.403761,146.403761,155.957726,155.957726,146.403761,146.403761,160.487893,160.487893,160.487893,160.487893
