#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1518730397 23381341 23494418 1774780 95631 23380924 23489365 1775198 100684 92341.84 90493.16 4624.16 7810.84
1518730407 23381402 23494427 1774780 95631 23380985 23489374 1775198 100684 92338.73 90494.00 4626.74 7810.60
1518730417 23381463 23494436 1774780 95631 23381045 23489383 1775198 100684 92340.16 90492.91 4625.27 7811.09
1518730427 23381525 23494445 1774780 95631 23381107 23489392 1775198 100684 92338.76 90493.16 4626.73 7810.84
1518730437 23381585 23494455 1774780 95631 23381168 23489402 1775198 100684 92339.84 90492.58 4625.68 7810.93
1518730448 23381648 23494465 1774780 95631 23381230 23489411 1775198 100684 92339.07 90492.29 4626.38 7811.71
1518730458 23381708 23494474 1774780 95631 23381290 23489421 1775198 100684 92340.79 90492.99 4624.76 7811.62
1518730468 23381769 23494483 1774780 95631 23381351 23489430 1775198 100684 92339.73 90492.56 4626.33 7811.44
1518730478 23381832 23494493 1774780 95631 23381414 23489440 1775198 100684 92342.27 90493.39 4624.14 7811.21
1518730488 23381891 23494502 1774780 95631 23381473 23489449 1775198 100684 92338.54 90492.93 4626.43 7811.07
1518730498 23381951 23494512 1774780 95631 23381533 23489459 1775198 100684 92339.63 90492.84 4626.38 7811.16
1518730508 23382011 23494521 1774780 95631 23381593 23489468 1775198 100684 92339.75 90492.85 4626.93 7811.15
1518730519 23382073 23494531 1774780 95631 23381655 23489478 1775198 100684 92338.25 90493.71 4627.24 7810.29
1518730529 23382135 23494541 1774780 95631 23381717 23489488 1775198 100684 92340.40 90493.23 4625.68 7810.77
1518730539 23382192 23494552 1774780 95631 23381774 23489498 1775198 100684 92338.01 90493.10 4627.46 7810.90
1518730549 23382252 23494561 1774780 95631 23381835 23489508 1775198 100684 92337.60 90492.71 4627.39 7811.82
1518730559 23382314 23494570 1774780 95631 23381896 23489517 1775198 100684 92340.45 90492.26 4625.54 7812.34
1518730569 23382376 23494580 1774780 95631 23381958 23489526 1775198 100684 92338.39 90492.78 4627.61 7811.22
1518730579 23382436 23494589 1774780 95631 23382018 23489536 1775198 100684 92338.46 90492.90 4627.54 7811.10
1518730590 23382495 23494598 1774780 95631 23382077 23489545 1775198 100684 92338.43 90492.15 4627.28 7811.85
1518730600 23382556 23494609 1774780 95631 23382139 23489556 1775198 100684 92338.33 90494.14 4626.15 7810.46
1518730610 23382616 23494618 1774780 95631 23382199 23489565 1775198 100684 92339.17 90492.77 4626.75 7810.73
1518730620 23382676 23494628 1774780 95631 23382259 23489575 1775198 100684 92340.51 90492.80 4625.57 7811.20
1518730630 23382737 23494637 1774780 95631 23382319 23489584 1775198 100684 92338.62 90492.68 4626.89 7811.32
1518730640 23382799 23494646 1774780 95631 23382382 23489593 1775198 100684 92337.59 90492.80 4627.39 7811.20
