RecId,Field-Location,State,Source,Pedigree,Replicate,Plot,Plot length [field],Row Spacing,Plot,Range,Pass,Date Planted,Date Harvested,Anthesis [days],Silking [days],Stand Early [plants],Stand Late [plants],Stand Count [plants],Pollen DAP,Silk DAP,Plant Height [cm],Ear Height [cm],Root Lodging [plants],Stalk lodging [plants],Plot Discarded,Comments
2614918,DEI1,DE,WISN14/13949,PHG35,2,17,12,30,,17,49,6/17/2015,10/21/2015,8/16/2015,8/16/2015,18,,14,60,60,138,65,0,0,,
2614913,DEI1,DE,WISN14/13937,LH82,2,18,12,30,,17,50,6/17/2015,10/21/2015,8/9/2015,8/9/2015,16,,11,53,53,121,59,0,0,,
2614900,DEI1,DE,WISN14/13909,A632,2,19,12,30,,17,51,6/17/2015,10/21/2015,8/13/2015,8/14/2015,19,,14,57,58,176,74,0,0,,
2614916,DEI1,DE,WISN14/13944,PH207,2,20,12,30,,17,52,6/17/2015,10/21/2015,8/7/2015,8/10/2015,9,,5,51,54,147,78,0,0,,
2614899,DEI1,DE,WISN14/13907,A619,2,21,12,30,,17,53,6/17/2015,10/21/2015,8/7/2015,8/12/2015,19,,14,51,56,156,53,0,0,,
2614910,DEI1,DE,WISN14/13931,LH195,2,22,12,30,,17,54,6/17/2015,10/21/2015,8/15/2015,8/17/2015,18,,14,59,61,143,58,0,0,,
2614902,DEI1,DE,WISN14/20823,B14,2,23,12,30,,17,55,6/17/2015,10/21/2015,8/14/2015,8/14/2015,15,,14,58,58,143,71,0,0,,
2614928,DEI1,DE,WISN14/13970,Wf9,2,24,12,30,,17,56,6/17/2015,10/21/2015,8/13/2015,8/12/2015,20,,11,57,56,172,69,0,0,,
2614897,DEI1,DE,WISN14/13901,740,2,25,12,30,,17,57,6/17/2015,10/21/2015,8/15/2015,8/17/2015,19,,14,59,61,165,85,0,0,,
2614907,DEI1,DE,WISN14/13922,LH123HT,2,26,12,30,,17,58,6/17/2015,10/21/2015,8/16/2015,8/15/2015,20,,13,60,59,199,70,0,0,,
2614912,DEI1,DE,WISN14/13936,LH74,2,27,12,30,,17,59,6/17/2015,10/21/2015,8/15/2015,8/14/2015,13,,10,59,58,166,79,0,0,,
2614927,DEI1,DE,WISN14/13968,W117HT,2,28,12,30,,17,60,6/17/2015,10/21/2015,8/3/2015,8/6/2015,10,,9,47,50,119,47,0,0,,
2614921,DEI1,DE,WISN14/14018,PHG83,2,29,12,30,,17,61,6/17/2015,10/21/2015,8/12/2015,8/13/2015,7,,7,56,57,158,66,0,0,,
