TIMESTAMP        spur-RQ          spur-RD          spur-WR          
1519688929 7014 0 0
1519688940 7014 0 0
1519688950 7014 0 0
1519688960 7014 0 0
1519688970 7016 0 0
1519688980 7016 0 0
1519688990 7016 0 0
1519689001 7016 0 0
1519689011 7016 0 0
1519689021 7016 0 0
1519689031 7016 0 0
1519689041 7016 0 0
1519689052 7018 0 0
1519689062 7018 0 0
1519689072 7018 0 0
1519689082 7018 0 0
1519689092 7018 0 0
1519689103 7018 0 0
1519689113 7018 0 0
1519689123 7020 0 0
1519689133 7020 0 0
1519689144 7020 0 0
1519689154 7020 0 0
1519689164 7020 0 0
1519689174 7020 0 0
1519689184 7020 0 0
1519689194 7022 0 0
1519689205 7022 0 0
1519689215 7022 0 0
1519689225 7022 0 0
1519689235 7022 0 0
1519689246 7022 0 0
1519689256 7022 0 0
1519689266 7022 0 0
1519689276 7024 0 0
1519689286 7024 0 0
1519689297 7024 0 0
1519689307 7024 0 0
1519689317 7024 0 0
1519689327 7024 0 0
1519689337 7024 0 0
1519689347 7026 0 0
1519689358 7026 0 0
1519689368 7026 0 0
1519689378 7026 0 0
1519689388 7026 0 0
1519689398 7026 0 0
1519689408 7026 0 0
1519689418 7028 0 0
1519689429 7028 0 0
1519689439 7028 0 0
1519689449 7028 0 0
1519689459 7028 0 0
1519689469 7028 0 0
1519689480 7028 0 0
1519689490 7028 0 0
1519689500 7030 0 0
1519689510 7030 0 0
1519689520 7030 0 0
1519689530 7030 0 0
1519689540 7030 0 0
1519689551 7030 0 0
1519689561 7030 0 0
1519689571 7032 0 0
1519689581 7032 0 0
1519689591 7032 0 0
1519689601 7032 0 0
1519689612 7032 0 0
1519689622 7032 0 0
1519689632 7032 0 0
1519689642 7032 0 0
1519689652 7034 0 0
1519689662 7034 0 0
1519689672 7034 0 0
1519689683 7034 0 0
1519689693 7034 0 0
1519689703 7034 0 0
1519689713 7034 0 0
1519689723 7036 0 0
1519689733 7036 0 0
1519689744 7036 0 0
1519689754 7036 0 0
1519689764 7036 0 0
1519689774 7036 0 0
1519689784 7036 0 0
1519689794 7038 0 0
1519689804 7038 0 0
1519689815 7038 0 0
1519689825 7038 0 0
1519689835 7038 0 0
1519689845 7038 0 0
1519689855 7038 0 0
1519689865 7038 0 0
1519689875 7040 0 0
1519689886 7040 0 0
1519689896 7040 0 0
1519689906 7040 0 0
1519689916 7040 0 0
1519689926 7040 0 0
1519689936 7040 0 0
1519689947 7042 0 0
1519689957 7042 0 0
1519689967 7042 0 0
1519689977 7042 0 0
1519689987 7042 0 0
1519689997 7042 0 0
1519690007 7042 0 0
1519690018 7042 0 0
1519690028 7044 0 0
1519690038 7044 0 0
1519690048 7044 0 0
1519690058 7044 0 0
1519690068 7044 0 0
1519690079 7044 0 0
1519690089 7044 0 0
1519690099 7046 0 0
1519690109 7046 0 0
1519690119 7046 0 0
1519690129 7046 0 0
1519690139 7046 0 0
1519690150 7046 0 0
1519690160 7046 0 0
1519690170 7048 0 0
1519690180 7048 0 0
1519690190 7048 0 0
1519690200 7048 0 0
1519690210 7048 0 0
1519690221 7048 0 0
1519690231 7048 0 0
1519690241 7048 0 0
1519690251 7050 0 0
1519690261 7050 0 0
1519690271 7050 0 0
1519690282 7050 0 0
1519690292 7050 0 0
1519690302 7050 0 0
1519690312 7050 0 0
1519690322 7052 0 0
1519690332 7052 0 0
1519690342 7052 0 0
1519690353 7052 0 0
1519690363 7052 0 0
1519690373 7052 0 0
1519690383 7052 0 0
1519690394 7054 0 0
1519690404 7054 0 0
1519690414 7054 0 0
1519690424 7054 0 0
1519690434 7054 0 0
1519690444 7054 0 0
1519690454 7054 0 0
1519690465 7054 0 0
1519690475 7056 0 0
1519690485 7056 0 0
1519690495 7056 0 0
1519690505 7056 0 0
1519690515 7056 0 0
1519690526 7056 0 0
1519690536 7056 0 0
1519690546 7058 0 0
1519690556 7058 0 0
1519690566 7058 0 0
1519690576 7058 0 0
1519690586 7058 0 0
1519690597 7058 0 0
1519690607 7058 0 0
1519690617 7058 0 0
1519690627 7060 0 0
1519690637 7060 0 0
1519690647 7060 0 0
1519690658 7060 0 0
1519690668 7060 0 0
1519690678 7060 0 0
1519690688 7060 0 0
1519690698 7062 0 0
1519690708 7062 0 0
1519690718 7062 0 0
1519690729 7062 0 0
1519690739 7062 0 0
1519690749 7062 0 0
1519690759 7062 0 0
1519690769 7064 0 0
1519690780 7064 0 0
1519690790 7064 0 0
1519690800 7064 0 0
1519690810 7064 0 0
1519690820 7064 0 0
1519690831 7064 0 0
1519690841 7064 0 0
1519690852 7066 0 0
1519690862 7066 0 0
1519690872 7066 0 0
1519690882 7066 0 0
1519690893 7066 0 0
1519690903 7066 0 0
1519690913 7066 0 0
1519690923 7068 0 0
1519690933 7068 0 0
1519690943 7068 0 0
1519690953 7068 0 0
1519690964 7068 0 0
1519690974 7068 0 0
1519690984 7068 0 0
1519690994 7070 0 0
1519691004 7070 0 0
1519691014 7070 0 0
1519691024 7070 0 0
1519691035 7070 0 0
1519691045 7070 0 0
1519691055 7070 0 0
1519691065 7070 0 0
1519691075 7072 0 0
1519691085 7072 0 0
1519691096 7072 0 0
1519691106 7072 0 0
1519691116 7072 0 0
1519691126 7072 0 0
1519691136 7072 0 0
1519691146 7074 0 0
1519691156 7074 0 0
1519691167 7074 0 0
1519691177 7074 0 0
1519691187 7074 0 0
1519691197 7074 0 0
1519691207 7074 0 0
1519691217 7074 0 0
1519691227 7076 0 0
1519691238 7076 0 0
1519691248 7076 0 0
1519691258 7076 0 0
1519691268 7076 0 0
1519691279 7076 0 0
1519691289 7076 0 0
1519691299 7078 0 0
1519691309 7078 0 0
1519691320 7078 0 0
1519691330 7078 0 0
1519691340 7078 0 0
1519691351 7078 0 0
1519691361 7078 0 0
1519691371 7080 0 0
1519691382 7080 0 0
1519691392 7080 0 0
1519691402 7080 0 0
1519691412 7080 0 0
1519691422 7080 0 0
1519691432 7080 0 0
1519691443 7080 0 0
1519691453 7082 0 0
1519691463 7082 0 0
1519691473 7082 0 0
1519691483 7082 0 0
1519691493 7082 0 0
1519691504 7082 0 0
1519691514 7082 0 0
1519691524 7084 0 0
1519691534 7084 0 0
1519691544 7084 0 0
1519691554 7084 0 0
1519691564 7084 0 0
1519691575 7084 0 0
1519691585 7084 0 0
1519691595 7086 0 0
1519691605 7086 0 0
1519691615 7086 0 0
1519691625 7086 0 0
1519691635 7086 0 0
1519691646 7086 0 0
