#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1519688837        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688847        21.959500         17.225100         21.209600         16.522000         0.000000          166.368000        21.209600        
1519688857        21.959500         17.225100         21.209600         16.522000         0.000000          166.365000        21.209600        
1519688868        21.959500         17.225100         21.209600         16.522000         0.000000          166.368000        21.209600        
1519688878        21.959500         17.225100         21.209600         16.522000         0.000000          166.364000        21.209600        
1519688888        21.959500         17.225100         21.209600         16.522000         0.000000          166.368000        21.209600        
1519688898        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688909        21.959500         17.225100         21.209600         16.522000         0.000000          166.369000        21.209600        
1519688919        21.959500         17.225100         21.209600         16.522000         0.000000          166.365000        21.209600        
1519688929        21.959500         17.225100         21.209600         16.522000         0.000000          166.368000        21.209600        
1519688940        21.959500         17.225100         21.209600         16.522000         0.000000          166.363000        21.209600        
1519688950        21.959500         17.225100         21.209600         16.522000         0.000000          166.367000        21.209600        
1519688960        21.959500         17.225100         21.209600         16.522000         0.000000          166.367000        21.209600        
1519688970        21.959500         17.225100         21.209600         16.522000         0.000000          166.364000        21.209600        
1519688980        21.959500         17.225100         21.209600         16.522000         0.000000          166.364000        21.209600        
1519688990        21.959500         17.225100         21.209600         16.522000         0.000000          166.367000        21.209600        
1519689000        21.959500         20.504400         21.209600         17.747700         0.000000          165.115000        21.209600        
1519689011        21.959500         17.032000         21.209600         13.593700         0.000000          169.295000        21.209600        
1519689021        21.959500         20.311300         21.209600         19.608200         0.000000          163.274000        21.209600        
1519689031        21.959500         20.311300         21.209600         19.608200         0.000000          163.275000        21.209600        
1519689041        21.959500         20.311300         21.209600         19.608200         0.000000          163.271000        21.209600        
1519689052        21.959500         20.311300         21.209600         19.608200         0.000000          163.274000        21.209600        
1519689062        21.959500         20.311300         21.209600         19.608200         0.000000          163.272000        21.209600        
1519689072        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
1519689082        21.959500         20.311300         21.209600         19.608200         0.000000          163.276000        21.209600        
